assembly,collapse,expansion,haplotypeswitch,inversion,number_of_contigs,number_of_contigs__10000_bp,number_of_contigs_1000000_bp,total_length,total_length_of_contigs__10000_bp,total_length_of_contigs_1000000bp,longest_contig,second_longest_contig_length,n50,n50_of_contigs_1mbp,mapping_rate,split.read_rate,depth,mapping_rate_in_large_contigs,split.read_rate_in_large_contigs,depth_in_large_conigs,num_structural_error,num_expansion,num_collapse,num_haplotype_switch,num_inversion,small.scale_assembly_error_.per_mbp,total_small.scale_assembly_error,base_substitution,small.scale_expansion,small.scale_collapse,qv,c,s,d,f,m,t,c_percent,s_percent,d_percent,f_percent,m_percent
MascCH02-dc_ipa_pd_insp,101723,403839,2938027,144682,497,492,295,1426732765,1426690817,1358454331,16174971,15872902,5773473,5773473,99.87,33.36,43.6588,94.09,32.91,43.1989,3053,304,1687,1043,19,41.56401604,59299,48730,5118,5451,29.72300925,3151,2608,543,44,90,3285,95.9,79.4,16.5,1.3,2.7
MascCH02-dc_ipa_ph_insp,76100,280615,3431959,142694,440,439,264,1324610488,1324601416,1266245200,16174971,15872902,6020993,6020993,99.81,36.8,46.9986,94.35,36.44,46.4749,2759,271,1236,1236,16,50.68770061,67141,56167,5422,5552,30.07900936,3133,2861,272,48,104,3285,95.4,87.1,8.3,1.5,3.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1278709169,total_length,% size diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MascCH02-dc_canu_insp,2500637435,95.55951389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MascCH02-dc_canu_pd_insp,1361265576,6.456230158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MascCH02-dc_canu_ph_insp,1329811296,3.996383872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MascCH02-dc_flye_insp,2460297463,92.40477214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MascCH02-dc_flye_pd_insp,1400878551,9.554117931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MascCH02-dc_flye_ph_insp,1316597089,2.962981804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MascCH02-dc_hifiasm_insp,1356971599,6.120424558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MascCH02-dc_hifiasm_pd.hap_insp,959135197,-24.99191996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MascCH02-dc_hifiasm_ph_insp,1312646305,2.654015223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MascCH02-dc_ipa_insp,2387406318,86.70440284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MascCH02-dc_ipa_pd_insp,1426732765,11.57601741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MascCH02-dc_ipa_ph_insp,1324610488,3.589660582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
